"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
	1994	2	15	17	7	43.8			"INDONESIA:  SOUTHERN SUMATERA, LIWA, LAMPUNG"	-4.967	104.302	23	6.9		207	3			2000	4	170.476	4	6000	4			207	3			2000	4	170.476	4	6000	4		
	1994	2	23	8	2	4.7			"IRAN:  SISTAN"	30.853	60.596	6	6.1		6	1				3	1.4	2					6	1				3	1.4	2				
	1994	3	1	3	49	0.8			"IRAN:  SOUTHERN:  FIRUZABAD"	29.096	52.617	13	6.1		2	1			50	1		1				1	2	1			50	1		1				1
	1994	3	2	3	38	3.8			"HAITI: SAINT-LOUIS DU NORD"	19.803	-72.799	59	5.4		4	1						1				1	4	1						1				1
	1994	3	9	23	28	6.7			"FIJI ISLANDS"	-18.039	-178.413	563	7.6																									
	1994	4	8	1	10	40.8	2226		"JAPAN:  OFF EAST COAST OF HONSHU ISLAND"	40.608	143.683	13	6.4																									
	1994	5	1	12	0	35.7			"AFGHANISTAN:  HINDU KUSH:  TASHIAK, TERMIZ"	36.901	67.163	19	6.1	6	160	3			330	3							160	3			330	3						
	1994	5	24	4	0	42.1	5428		"TAIWAN"	23.959	122.448	16	6.5	4																								
	1994	6	2	18	17	34	2227		"INDONESIA:  JAVA"	-10.477	112.835	18	7.8			1						1					238	3			423	3	2.2	2	1500	4		
	1994	6	3	21	6	59.8	2592		"INDONESIA:  JAVA"	-10.362	112.892	26	6.6																									
	1994	6	4	0	57	50.6	5576		"INDONESIA:  JAVA"	-10.777	113.366	11	6.5																									
	1994	6	5	1	9	30.1			"TAIWAN:  CHI-LUNG, I-LAN, TAIPEI, NAN-AO"	24.511	121.905	11	6.4		1	1			2	1		2		2			1	1			2	1		2		2		
	1994	6	5	1	45	2.7	2593		"INDONESIA:  JAVA"	-10.341	113.369	17	6.1																									
	1994	6	6	20	47	40.5		6624	"COLOMBIA:  CAUCA, HUILA"	2.917	-76.057	12	6.8		650	3					2.4	2	200	3			650	3					2.4	2	200	3		
	1994	6	9	0	33	16.2			"BOLIVIA-PERU: AREQUIPA, FELT IN N AND S AMERICA"	-13.841	-67.553	631	8.2		5	1				3		2					5	1				3		2				
	1994	6	18	3	25	15.8			"NEW ZEALAND:  SOUTH ISLAND:  CHRISTCHURCH"	-42.963	171.658	14	6.8	6								1												1				
	1994	6	20	9	9	2.9			"IRAN:  FIRUZABAD, SHIRAZ"	28.968	52.614	9	5.9		3	1			100	2		3		3		3	3	1			100	2		3		3		3
	1994	8	18	1	13	5.7			"ALGERIA:  MASCARA"	35.52	-0.106	9	5.9		171	3						4		4		4	171	3						4		4		
	1994	9	1	15	15	53	2228		"CALIFORNIA:  NORTH:  HONEYDEW"	40.402	-125.68	10	7	6								1												1				
	1994	10	4	13	22	55.8	2230		"RUSSIA:  KURIL ISLANDS; JAPAN:  HOKKAIDO"	43.773	147.321	14	8.3	9	11	1			382	3		3					11	1			382	3		3				
	1994	10	8	21	44	7.2	2231		"INDONESIA:  HALMAHERA"	-1.258	127.98	17	6.8		1	1			52	2		2			500	3	1	1			52	2		2			500	3
	1994	10	9	7	55	39.5	2232		"RUSSIA:  KURIL ISLANDS"	43.905	147.916	33	7.3																									
	1994	11	14	19	15	30.6	2234		"PHILIPPINES:  MINDORO"	13.525	121.067	32	7.1		81	2			225	3	3.7	2	797	3	3288	4	81	2			225	3	3.7	2	797	3	3288	4
	1994	12	26	14	10	29.1			"CALIFORNIA:  EUREKA, SAMOA, ARCATA, BLUE LAKE"	40.741	-124.31	23	5.5	7							2.1	2											2.1	2				
	1994	12	28	12	19	23	2235		"JAPAN:  HONSHU"	40.525	143.419	27	7.8	9	3	1			200	3	170.4	4					3	1			200	3	170.4	4				
	1994	12	31	2	57	20.8			"CHINA:  GUANGXI PROVINCE, GUANDONG PROVINCE"	20.524	109.33	33	5.3						360	3		2	1100	4							360	3		2	1100	4		
	1995	1	16	20	46	52.1	2236		"JAPAN:  SW HONSHU:  KOBE, AWAJI-SHIMA, NISHINOMIYA"	34.583	135.018	22	6.9	11	5502	4			36896	4	100000	4	200000	4			5502	4			36896	4	100000	4	200000	4		
	1995	1	19	15	5	3.4			"COLOMBIA:  BOGOTA, MANIZALES, MIRAFLORES"	5.05	-72.916	17	6.5		7	1				2		2	512	3	20	1	7	1				2		2	512	3	20	1
	1995	2	5	22	51	5.1			"NEW ZEALAND:  NORTH ISLAND; S ISLAND:  CHRISTCHURCH"	-37.759	178.752	21	7.1																									
	1995	2	8	18	40	25.3			"COLOMBIA:  CALI, PEREIRA, ARMENIA, CALARCA"	4.104	-76.622	74	6.4		45	1			400	3	50	4	2000	4			45	1	1		400	3	50	4	2000	4		
	1995	2	23	21	3	1.3			"CYPRUS:  PAPHOS, NICOSIA, ARODHES, PERISTERONA"	35.046	32.279	10	5.9	7	2	1			5	1	4.34	2	70	2	570	3	2	1			5	1	4.34	2	70	2	570	3
	1995	3	19	23	53	14.9			"INDONESIA:  IRIAN JAYA REGION"	-4.183	135.109	33	6.9									1				1								1				1
	1995	4	1	3	49	33.5			"JAPAN:  NIIGATA PREFECTURE, SADO"	37.925	139.186	11	5.4									2																
	1995	4	7	22	6	56.8	2240		"SAMOA:  APIA; AMERICAN SAMOA:  PAGO PAGO; NIUE"	-15.199	-173.529	21	7.4																									
	1995	4	21	0	34	46	2241		"PHILIPPINES:  SAMAR"	12.059	125.58	21	7.2																									
	1995	4	21	5	17	1.3	2242		"PHILIPPINES:  SAMAR"	12.047	125.92	23	6.8																									
	1995	5	13	8	47	12.7	2244		"GREECE:  GREVENA-KOZANI, THESSALONIKI, YUGOSLAVIA"	40.149	21.695	14	6.6	8					25	1	450	4	12000	4							25	1	450	4	12000	4		
	1995	5	14	11	33	21.1	2245		"INDONESIA:  TIMOR, DILI, MALIANA, MAUBARA"	-8.452	125.049	13	6.9	7													11	1			19	1		1		2		
	1995	5	16	20	12	44.2	2246		"NEW CALEDONIA:  NOUMEA; VANUATU:  PORT-VILA"	-23.008	169.9	20	7.7	3																								
	1995	5	27	13	3	52.6	2247		"RUSSIA:  SAKHALIN IS:  NEFTEGORSK, OKHA, MOSKALVO"	52.629	142.827	11	7.1	9	1989	4			750	3	300	4					1989	4			750	3	300	4				
	1995	6	15	0	15	48.7	2248		"GREECE:  AIYION, ERATINI"	38.401	22.283	14	6.5	7	26	1			60	2	660	4					26	1			60	2	660	4				
	1995	7	11	21	46	39.7			"CHINA: YUNNAN PROVINCE: LANCANG, MENGLIAN; THAILAND"	21.966	99.196	13	6.8		11	1			136	3	36.1	4	100000	4	100000	4	11	1			136	3	36.1	4	100000	4		
	1995	7	21	22	44	4.5			"CHINA:  GANSU, YONGDENG, BAIYIN, DINGXI, JINGTAI"	36.427	103.123	13	5.6		14	1			60	1		3	4500	4			14	1			60	1		3	4500	4		
	1995	7	30	5	11	23.6	2249		"CHILE:  ANTOFAGASTA, CALAMA, MEJILLONES"	-23.34	-70.294	46	8	7	3	1			58	2	1.66	2	115	3			3	1					1.791	2	115	3		
	1995	8	16	10	27	28.6	2250		"PAPUA NEW GUINEA:  RABAUL, KOKOPO, NEW BRITAIN"	-5.799	154.178	30	7.7									1												1				
	1995	9	14	14	4	31.4	2251		"MEXICO:  GUERRERO, OAXACA, PUEBLA, MEXICO CITY"	16.779	-98.597	23	7.4		3	1			100	2		2					3	1			100	2		2				
	1995	10	1	15	57	16.2			"TURKEY:   DINAR, EVCILER"	38.063	30.134	33	6.4	8	95	2			348	3	205.8	4	5100	4			95	2			348	3	205.8	4	5100	4		
	1995	10	3	1	51	23.9			"ECUADOR:  QUITO"	-2.75	-77.881	24	7		2	1			5	1		1	83	2			2	1			5	1		1	83	2		
	1995	10	6	5	23	18.5			"ALASKA:  FAIRBANKS NORTH STAR COUNTY"	65.17	-148.565	9	6									1												1				
	1995	10	6	18	9	45.9			"INDONESIA:  SUMATERA, JAMBI PROVINCE"	-2.045	101.436	33	6.8		84	2			1868	4		4	17600	4			84	2			1868	4		4	17600	4		
	1995	10	9	15	35	53.9	2252		"MEXICO:  JALISCO, MANZANILLO, SAN PATRICIO MELAQUE"	19.055	-104.205	33	8		49	2			200	3		2		2			50	1			200	3		2		2		
	1995	10	18	10	37	26.3	2253		"JAPAN:  RYUKU IS."	27.929	130.175	28	7.1						1	1											1	1		1				
	1995	10	19	2	41	36.1	2254		"JAPAN:  RYUKU IS."	28.094	130.148	20	6.8																									
	1995	10	23	22	46	50.8			"CHINA:  YUNNAN PROVINCE:  WUDING"	26.003	102.227	10	6.2		81	2			800	3	80	4	200	3	200	3	81	2			800	3	80	4	200	3		
	1995	11	1	0	35	32.7	2255		"CHILE:  NEAR CENTRAL COAST"	-28.906	-71.417	20	6.7																									
	1995	11	22	4	15	11.9	2256		"EGYPT:  NUWAYBI; SAUDI ARABIA; ISRAEL; JORDAN"	28.826	34.799	10	7.2	8	11	1			47	1		2					11	1			47	1		2		1		
	1995	12	3	18	1	8.9	2257		"RUSSIA:  KURIL ISLANDS:  ITURUP, MATUA, KUNASHIR"	44.663	149.3	33	7.9	5																								
	1996	1	1	8	5	10.8	2259		"INDONESIA:  SULAWESI: MINAHASSA PENINSULA, TOLITOLI"	0.729	119.931	24	7.9	6								1					9	1			63	2	1.2	2	400	3		
	1996	2	3	11	14	20.1			"CHINA:  YUNNAN PROVINCE:  LIJIANG"	27.291	100.276	11	6.6	9	322	3			17057	4	506	4	959000	4	959000	4	322	3			17057	4	506	4	959000	4		
	1996	2	17	5	59	30.5	2260		"INDONESIA:  NEW GUINEA:  IRIAN JAYA:  BIAK, SUPIORI"	-0.891	136.952	33	8.2		54	2			423	3	4.2	2	5043	4			164	3			423	3	4.2	2	5043	4		
	1996	2	21	12	51	1.3	2261		"PERU:  NORTHERN:  CHIMBOTE, CALLAO"	-9.593	-79.587	10	7.5	4													12	1			57	2			15	1	22	1
	1996	2	25	3	8	15.8	2262		"MEXICO:  OFF COAST OF GUERRERO"	15.978	-98.07	21	7.1																									
	1996	3	19	15	0	26			"CHINA:  S. XINJIANG:   ARTUX, JIASHI, BACHU, KASHI"	39.993	76.696	28	6.3		24	1			128	3	24	3	15314	4			24	1			128	3	24	3	15314	4		
	1996	3	28	23	3	49.8			"ECUADOR:  COTOPAXI, PASTAZA, TUNGURAHUA, AMBATO"	-1.036	-78.737	33	5.9	6	27	1			100	2	7	3		3		3	27	1			100	2	7	3		3		3
	1996	4	29	14	40	41			"SOLOMON ISLANDS:  BOUGAINVILLE ISLAND"	-6.518	154.999	44	7.2		1	1						2		3			1	1						2		3		
	1996	5	3	3	32	47.1			"CHINA:  NEI MONGOL:  BAOTOU, BEIJING, HOHHOT"	40.774	109.661	26	6	8	23	1			330	3		4					23	1			330	3		4				
	1996	6	10	4	3	35.4	2263		"ALASKA:  ANDREANOF ISLANDS"	51.564	-177.632	33	7.9	6																								
	1996	6	10	15	24	56	2264		"ALASKA:  ANDREANOF ISLANDS"	51.478	-176.847	24	7.3																									
	1996	9	4	18	16	1.9	2265		"HONSHU ISLAND, JAPAN"	31.555	139.931	33	5.7																									
	1996	9	5	8	14	14.4	2266		"CHILE:  EASTER ISLAND REGION"	-22.118	-113.436	10	6.9																									
	1996	9	5	20	44	9.2			"BALKANS NW:  CROATIA:  STON, SLANO"	42.803	17.936	10	6	8						2		3										2		3				
	1996	9	5	23	42	6	5641		"TAIWAN REGION"	21.898	121.498	20	6.8																									
	1996	10	18	10	50	20.8	2267		"JAPAN:  KYUSHU ISLAND"	30.568	131.093	10	6.6																									
	1996	10	19	14	44	40.7	2268		"JAPAN:  KYUSHU ISLAND"	31.885	131.468	22	6.7									1												1				
	1996	11	12	16	59	44	2269		"PERU:  CHINCHA ALTA, ACARI, NAZCA, MARCONA"	-14.993	-75.675	33	7.7	8	14	1			560	3		4			4000	4	14	1			560	3		4			4000	4
	1996	12	2	22	17	59.2	2270		"JAPAN:  KYUSHU"	31.789	131.314	49	6.7																									
	1997	1	9	13	43	31.5			"KYRGYZSTAN:  DZHERGETAL, KOSHTEBE, KAZARMAN"	41.026	74.284	22	5.8	7								1																
	1997	1	11	20	28	26			"MEXICO:  MICHOACAN, ARTEAGA"	18.219	-102.756	33	7.2		1	1						2					1	1						2				
	1997	1	12	12	10	51.3			"ALBANIA:  BERAT, URA VAJGURORE, GRAMSH, CERRIK"	40.956	19.672	10	4.7	6								1																
	1997	1	21	1	48	30.1			"CHINA:  SOUTHERN XINJIANG:  JIASHI COUNTY"	39.474	76.998	33	5.9		12	1			40	1		3	14000	4			12	1			40	1		3	14000	4		
	1997	2	4	10	37	47.1			"IRAN:  BOJNURD, SHIRVAN, ESFARAYEN"	37.661	57.291	10	6.5	8	88	2			1948	4	30	4	5500	4	11000	4	88	2			1948	4	30	4	5500	4	11000	4
	1997	2	27	21	8	2.3			"PAKISTAN:  HARNAI-SIBI, QUETTA"	29.976	68.208	33	7.1		60	2				3		2	500	3	500	3	60	2				3		2	500	3		
	1997	2	28	12	57	18.6			"IRAN:  ARDABIL"	38.075	48.05	10	6.1	7	1100	4			2600	4		4	12000	4			1100	4			2600	4		4	12000	4		
	1997	3	1	6	4	14.1			"CHINA:  S. XINJIANG, JIASHI COUNTY, KASHI"	39.422	76.839	22	5.6		2	1			6	1		3	4000	3			2	1			6	1		3	4000	4		
	1997	3	19	19	57	11.9			"PAKISTAN:  BAJAUR, CHITRAL"	34.872	71.62	50	4.9		15	1						1				1	15	1						1				1
	1997	3	26	8	31	47.1			"JAPAN:  KYUSHU, KAGOSHIMA"	31.92	130.429	10	6.1	6								2																
	1997	4	5	23	46	19.5			"CHINA:  S. XINJIANG, JIASHI COUNTY"	39.513	76.865	33	5.9						23	1		3	3000	4							23	1		3	3000	4		
	1997	4	6	4	36	35.2			"CHINA:  S. XINJIANG"	39.537	76.998	33	6									3												3				
	1997	4	11	5	34	42.7			"CHINA:  S. XINJIANG, BACHU, SHULE, YINGJISHA"	39.527	76.941	15	6.2		9	1			89	2		4	2000	4			9	1			89	2		4	2000	4		
	1997	4	21	12	2	26.4	2273		"SOLOMON ISLANDS:  SANTA CRUZ ISLANDS; VANUATU"	-12.584	166.676	33	7.7									1												1	7	1		
	1997	4	22	9	31	23.2			"TOBAGO"	11.112	-60.892	5	6.7						2	1	25	4	3	1							2	1	25	4	3	1		
	1997	4	23	19	44	28.4			"GUAM"	13.986	144.901	101	6.5	7					4	1		1									4	1		1				
	1997	5	10	7	57	29.7			"IRAN:  BIRJAND, GHAEN"	33.825	59.809	10	7.2	10	1728	4			2300	4	100	4	10533	4	5474	4	1728	4			2300	4	100	4	10533	4	5474	4
	1997	5	13	14	13	45.7			"AFGHANISTAN:  HINDU-KUSH, MALAKAND-PESHAWAR"	36.411	70.945	196	6.4		1	1			11	1		2				2	1	1			11	1		2				2
	1997	5	21	22	51	28.7			"INDIA:  SOUTHERN:  JABALPUR"	23.083	80.041	36	5.8	8	56	2			1000	4	143	4	8546	4	8546	4	56	2			1000	4	143	4	8546	4	52690	4
	1997	6	25	19	38	40.6			"IRAN:  BIRJAND, QAYEN"	33.938	59.475	10	5.9									2	100	2	5000	4								3	100	2	5000	4
	1997	7	9	19	24	13.1	2274		"VENEZUELA:  CARIACO-CUMANA"	10.598	-63.486	20	7	5	81	2			522	3	81	4					81	2			522	3	81	4				
	1997	7	21	8	45	49.1			"SOUTH AFRICA:  AVGOLD'S HARTEBEESTFONTEIN MINE"	-26.857	26.619	5	5		15	1			46	1							15	1			46	1						
	1997	8	20	7	15	15.9			"INDONESIA:  N. SUMATERA, ACEH, BANDA ACEH, MEDAN"	4.358	96.494	33	6									2		3										2		3		
	1997	9	26	0	33	12.2			"ITALY:  CENTRAL:  MARCHE, UMBRIA"	43.048	12.879	10	5.7	8								1												1				
	1997	9	26	9	40	26.3			"ITALY:  CENTRAL:  MARCHE, UMBRIA"	43.084	12.812	10	6	10	14	1			100	2	4524.9	4	80000	4			14	1			100	2	4524.9	4	80000	4		
	1997	9	28	1	38	28.6			"INDONESIA:  SULAWESI, PAREPARE"	-3.776	119.727	33	5.9		20	1			300	3	1.1	2	650	3			20	1			300	3	1.1	2	650	3		
	1997	9	30	6	27	24.7	3034		"JAPAN:  HONSHU:  S"	31.959	141.878	10	6.2																									
	1997	10	14	9	53	18.1	2275		"TONGA ISLANDS"	-22.101	-176.772	167	7.7																									
	1997	10	15	1	3	33.4			"CHILE:  PUEBLO NUEVO, COQUIMBO, LA CHIMBA"	-30.933	-71.22	58	7.1		8	1			300	3	48	4	5000	4	15700	4	8	1			300	3	48	4	5000	4	15700	4
	1997	11	8	10	2	52.6			"CHINA:  TIBET (XIZANG PROVINCE)"	35.069	87.325	33	7.5																									
	1997	11	18	13	7	41.7			"GREECE:  IONIAN SEA, AMALIAS, GARGALIANOI, KALAMAI"	37.57	20.656	33	6.6									1																
	1997	11	21	11	23	6.3			"INDIA-BANGLADESH:  CHITTAGONG, BANGLADESH"	22.212	92.702	54	6.1		23	1			200	3		1	1	1		1	23	1			200	3		1	1	1		1
	1997	11	25	12	14	33.6			"INDONESIA:  SULAWESI:  MINAHASSA PENINSULA,GORONTALO"	1.241	122.536	24	7									1																
	1997	12	5	11	26	54.6	2277		"RUSSIA:  KAMCHATKA:  UST-KAMCHATSK, PETROPAVLOVSK"	54.841	162.035	33	7.8	7																								
	1998	1	10	3	50	41.5			"CHINA:  NORTHEASTERN: SHANGYI-ZHANGBEI, HEBEI"	41.083	114.5	30	5.7	8	70	2			11500	4	285.5	4	70000	4			70	2			11500	4	285.5	4	70000	4		
	1998	1	10	8	20	5.7			"GUATEMALA:  QUEZALTENANGO, SAN MARCOS, SOLOLA"	14.374	-91.473	33	6.6						27	1		1		2		2					27	1		1		2		1
	1998	2	3	3	2	0.2			"MEXICO:  OAXACA, SAN AGUSTIN, SAN FRANCISCO"	15.883	-96.298	33	6.3									2												2				
	1998	2	4	14	33	21.2			"AFGHANISTAN:  ROSTAQ; TAJIKISTAN:  DUSHANBE"	37.075	70.089	33	5.9		2323	4			818	3		4	8094	4			2323	4			818	3		4	8094	4		
	1998	2	20	12	18	6.2			"AFGHANISTAN-TAJIKISTAN:  YAR HUSAIN, ASTOR"	36.479	71.086	236	6.4		1	1			11	1		2	35	1			1	1			11	1		2	35	1		
	1998	3	14	19	40	27			"IRAN:  GOLBAF, BAFT, KERMAN"	30.154	57.605	9	6.6		5	1			50	1		3	2000	4			5	1			50	1		3	2000	4		
	1998	3	19	13	51	33.7			"CHINA:  SOUTHERN XINJIANG: ARTUX, KASHGAR"	39.977	76.731	33	5.6									1	400	3										1	400	3		
	1998	3	25	3	12	25	2587		"BALLENY ISLANDS"	-62.877	149.527	10	8.1																									
	1998	4	3	7	26	36.6			"ITALY:  CENTRAL:  GUALDO, TADINO-NOCERA UMBRA"	43.164	12.701	10	5.2									1	300	3							5	1		1	300	3		
	1998	4	10	15	0	53.1			"IRAN:  BIRJAND, GONABAD"	32.457	59.976	33	5.8		12	1			10	1		2			600	3	12	1			10	1		2			600	3
	1998	4	12	10	55	32.5			"AUSTRIA:  ARNOLDSTEIN; SLOVENIA:  BOVEC, KOBARID"	46.245	13.652	10	5.7	8	1	1						2					1	1						2				
	1998	5	3	23	30	21.9	2280		"TAIWAN"	22.306	125.308	33	7.5																									
	1998	5	22	4	48	50.4			"BOLIVIA:  CENTRAL:  AIQUILE, TOTORA"	-17.731	-65.431	24	6.6		105	3			150	3		3		3			105	3			150	3		3		3		
	1998	5	28	21	11	44.1			"CHINA:  SOUTHERN XINJIANG"	37.388	78.843	33	5.6						28	1		3	2000	4							28	1		3	2000	4		
	1998	5	30	6	22	28.9			"AFGHANISTAN:  BADAKHSHAN, TAKHAR"	37.106	70.11	33	6.6		4700	4				4	10	3		4			4700	4				4	10	3		4		
	1998	5	30	18	18	15	5742		"SANRIKU, JAPAN"	39.027	143.441	33	6.2																									
	1998	6	27	13	55	52			"TURKEY:  ADANA, CEYHAN"	36.878	35.307	33	6.3	8	145	3			1500	4	550	4	1700	4			145	3			1500	4	550	4	1700	4		
	1998	7	9	5	19	7.3			"AZORES:  FAIAL, PICO, TERCEIRA"	38.65	-28.626	10	6.2		10	1			100	2	72	4		3		3	10	1			100	2	72	4		3		3
	1998	7	9	14	19	18.4			"ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI"	38.717	48.507	26	6									2												2				
	1998	7	17	4	51	14.7			"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG"	23.407	120.736	13	5.7	5	5	1			27	1		1					5	1			27	1		1				
	1998	7	17	8	49	16.1	2281		"PAPUA NEW GUINEA:  SISSANO"	-2.943	142.582	25	7														1636	4			1000	3		3		3		
	1998	8	4	18	59	20.1			"ECUADOR:  BAHIA DE CARAQUEZ, CANOA"	-0.593	-80.393	33	7.2		3	1			40	1		2				3	3	1			40	1		2				2
	1998	8	27	9	3	36.6			"CHINA:  SOUTHERN XINJIANG:  JIASHI"	39.66	77.343	33	6.4		3	1			7	1		3	3600	4	18771	4	3	1			7	1		3	3600	4	18771	4
	1998	9	28	13	34	30.4			"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR"	-8.194	112.413	152	6.6		1	1						1	38	1	62	2	1	1						1	38	1	62	2
	1998	9	29	22	14	49.5			"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO"	44.209	20.08	10	5.5	8	1	1			17	1		2		3			1	1			17	1		2		3		
	1998	9	30	23	42	54.2			"ALBANIA:  KUKES, PESHKOPI"	41.925	20.39	10	5.3									2	700	3										2	700	3		
	1998	10	5	2	20	33.9			"IRAN:  WESTERN:  DARREH SHAHR, POL-E-DOKHTAR"	33.199	47.225	39	5.4									1			100	2								1			100	2
	1998	11	13	13	1	10.5			"IRAN:  SOUTHERN:  BIGHERD-KHONJ"	27.791	53.608	33	5.4		5	1			105	3		2			850	3	5	1			105	3				2	850	3
	1998	11	19	11	38	14.8			"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG"	27.308	101.029	33	5.6		5	1			1543	4	70	4	12000	4	12000	4	5	1			1543	4	70	4	12000	4		
	1998	11	29	14	10	31.9	2588		"INDONESIA:  MANGOLE, MANADO, TALIABU"	-2.071	124.891	33	7.7	7	41	1			107	3	200	4	1000	3			41	1			107	3	200	4	1000	3		
	1998	12	1	7	37	56.1			"CHINA:  YUNNAN PROVINCE  SOUTHEASTERN"	26.373	104.021	10	4.5						84	2	22.6	3	21872	4	21872	4					84	2	22.6	3	21872	4		
	1999	1	25	18	19	16.8			"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA"	4.461	-75.724	17	6.2		1185	4	700	3	4750	4	1857.366	4		4			1185	4	700	3	4750	4	1857.366	4		4		
	1999	2	1	23	57	52.9			"RUSSIA:  MAKHACHKALA, DAGESTAN"	42.962	46.954	33	3.2	3							0.9	1											0.9	1				
	1999	2	2	13	45	16.8			"SPAIN:  MULA, PUEBLA DE MULA"	38.193	-1.566	10	4.8	7					20	1	44.004	4				3					20	1	44.004	4				3
	1999	2	11	14	8	51.6			"AFGHANISTAN:  LOWGAR, VARDAK, KABUL"	34.259	69.364	33	6		70	2			500	3		3	7000	4	7000	4	70	2			500	3		3	7000	4		
	1999	3	4	5	38	26.5			"IRAN:  SOUTHERN:  KERMAN"	28.343	57.193	33	6.6		1	1						2			517	3	1	1						2			517	3
	1999	3	11	13	18	9.3			"CHINA:  NE: ZHANGBEI COUNTY"	41.131	114.658	33	5.1						3	1		2	200	3							3	1		2	200	3		
	1999	3	28	19	5	11			"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL"	30.512	79.403	15	6.6	8	100	2			394	3	70	4	21100	4	21100	4	100	2			394	3		4	21100	4		
	1999	4	3	6	17	18.3			"PERU:  CAMANA, AREQUIPA"	-16.66	-72.662	87	6.8	6	1	1			50	1		2			300	2	1	1			50	1		2			300	3
	1999	5	6	23	0	53.1			"IRAN:  SOUTHERN:  FARS PROVINCE"	29.501	51.88	33	6.2		26	1			100	2		2	800	3			26	1			100	2		2	800	3		
